Concurso;bola 1;bola 2;bola 3;bola 4;bola 5;bola 6;bola 7;bola 8;bola 9;bola 10;bola 11;bola 12;bola 13;bola 14;bola 15
1796;15;19;20;18;5;25;1;12;16;3;23;21;10;24;9
1795;10;8;4;19;17;16;22;13;25;18;2;24;7;9;23
1794;13;16;10;18;21;19;5;11;3;4;24;8;25;22;7
1793;20;10;3;13;18;5;19;1;11;16;24;6;2;23;21
1792;9;15;13;6;7;24;10;25;14;22;3;2;16;17;21
1791;7;2;13;18;15;1;22;20;24;5;10;19;4;8;17
1790;21;6;3;2;24;11;12;25;23;8;18;15;13;1;17
1789;25;21;9;17;8;13;3;24;15;1;22;19;11;14;5
1788;1;6;2;19;18;11;15;13;9;17;14;23;20;7;10
1787;1;12;4;18;7;20;11;10;2;25;14;21;6;19;23
1786;7;20;6;5;21;1;17;12;16;24;3;23;22;4;18
1785;7;6;23;14;1;19;8;5;11;25;9;16;4;17;21
1784;10;1;4;25;19;7;22;11;9;23;17;14;13;18;3
1783;18;25;12;8;20;24;22;4;11;14;3;23;15;10;21
1782;19;1;25;7;20;22;13;8;3;17;2;15;14;12;18
1781;10;15;19;7;9;8;20;22;16;4;18;1;11;5;21
1780;16;22;5;25;11;14;9;4;13;17;15;3;10;8;6
1779;22;19;25;3;2;21;20;23;24;18;9;4;6;8;15
1778;16;19;1;3;8;11;18;21;13;9;24;5;23;10;6
1777;24;21;6;14;8;16;10;25;12;15;18;2;4;20;19
1776;11;25;19;17;12;24;7;23;18;6;13;3;22;4;2
1775;19;17;15;6;11;9;7;16;18;3;8;14;20;23;12
1774;12;7;10;19;25;15;13;23;24;3;20;22;14;9;17
1773;8;16;19;18;13;2;10;25;9;5;17;24;15;21;1
1772;5;19;10;13;9;7;4;24;20;1;14;16;3;21;25
1771;24;11;21;17;13;25;18;19;6;7;15;16;23;10;2
1770;21;2;11;18;20;5;7;19;23;14;12;4;15;22;25
1769;10;3;7;12;23;8;14;20;5;25;16;13;1;17;18
1768;10;25;4;12;18;19;14;17;20;6;23;1;2;24;22
1767;9;15;2;20;5;19;24;16;6;4;7;25;11;10;23
1766;7;10;23;15;16;1;20;12;21;14;8;3;11;13;9
1765;22;5;14;4;17;25;8;13;18;2;21;1;9;3;11
1764;15;6;2;25;19;14;23;17;4;20;16;7;1;12;10
1763;16;24;10;1;8;5;9;11;14;4;15;2;13;3;21
1762;20;22;5;12;17;6;25;7;21;1;23;16;8;2;15
1761;11;21;2;19;13;25;3;17;9;5;10;6;20;1;18
1760;16;23;15;25;14;24;7;1;5;20;6;4;12;3;18
1759;18;22;8;16;14;5;10;23;6;3;4;15;1;2;19
1758;23;22;9;4;17;20;12;19;2;10;14;1;7;8;13
1757;15;18;3;10;25;13;14;4;7;17;20;23;21;22;1
1756;17;13;16;12;6;2;5;24;23;19;8;7;21;1;22
1755;9;3;25;21;2;22;18;8;20;23;11;1;19;16;13
1754;5;17;1;3;20;2;14;13;25;12;24;4;21;10;15
1753;12;3;8;17;24;5;15;2;6;9;22;25;13;1;21
1752;15;7;4;13;16;6;22;9;20;18;3;1;12;17;8
